Type,DataName,D1,D2,D3,D4,D5,D6,D7,D8,D9
UI,nav_heal_btn,css=button[data-phase='heal'],css=button[data-phase='heal'],css=button[data-phase='heal'],css=button[data-phase='heal'],css=button[data-phase='heal'],css=button[data-phase='heal'],css=button[data-phase='heal'],css=button[data-phase='heal'],css=button[data-phase='heal']
UI,nav_loop_btn,css=button[data-phase='loop'],css=button[data-phase='loop'],css=button[data-phase='loop'],css=button[data-phase='loop'],css=button[data-phase='loop'],css=button[data-phase='loop'],css=button[data-phase='loop'],css=button[data-phase='loop'],css=button[data-phase='loop']
UI,nav_brahl_btn,css=button[data-phase='brahl'],css=button[data-phase='brahl'],css=button[data-phase='brahl'],css=button[data-phase='brahl'],css=button[data-phase='brahl'],css=button[data-phase='brahl'],css=button[data-phase='brahl'],css=button[data-phase='brahl'],css=button[data-phase='brahl']
UI,nav_cost_btn,css=button[data-phase='cost'],css=button[data-phase='cost'],css=button[data-phase='cost'],css=button[data-phase='cost'],css=button[data-phase='cost'],css=button[data-phase='cost'],css=button[data-phase='cost'],css=button[data-phase='cost'],css=button[data-phase='cost']
UI,avatar_client_bar_btn,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator
UI,avatar_hitl_bar_btn,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter
UI,topbar_project_selected_locator,css=#topbar-project-select option:checked,css=#topbar-project-select option:checked,css=#topbar-project-select option:checked,css=#topbar-project-select option:checked,css=#topbar-project-select option:checked,css=#topbar-project-select option:checked,css=#topbar-project-select option:checked,css=#topbar-project-select option:checked,css=#topbar-project-select option:checked
UI,topbar_project_label_locator,css=.topbar-project-label,css=.topbar-project-label,css=.topbar-project-label,css=.topbar-project-label,css=.topbar-project-label,css=.topbar-project-label,css=.topbar-project-label,css=.topbar-project-label,css=.topbar-project-label
UI,build_panel_title_locator,css=#build-panel-title,css=#build-panel-title,css=#build-panel-title,css=#build-panel-title,css=#build-panel-title,css=#build-panel-title,css=#build-panel-title,css=#build-panel-title,css=#build-panel-title
UI,ai_toggle_label_locator,css=#ai-toggle-label,css=#ai-toggle-label,css=#ai-toggle-label,css=#ai-toggle-label,css=#ai-toggle-label,css=#ai-toggle-label,css=#ai-toggle-label,css=#ai-toggle-label,css=#ai-toggle-label
UI,chat_input_locator,css=#chat-input,css=#chat-input,css=#chat-input,css=#chat-input,css=#chat-input,css=#chat-input,css=#chat-input,css=#chat-input,css=#chat-input
UI,budget_block_locator,css=.budget-block,css=.budget-block,css=.budget-block,css=.budget-block,css=.budget-block,css=.budget-block,css=.budget-block,css=.budget-block,css=.budget-block
UI,build_refine_summary_locator,css=#build-refine-details summary,css=#build-refine-details summary,css=#build-refine-details summary,css=#build-refine-details summary,css=#build-refine-details summary,css=#build-refine-details summary,css=#build-refine-details summary,css=#build-refine-details summary,css=#build-refine-details summary
UI,build_checklist_locator,css=#build-checklist,css=#build-checklist,css=#build-checklist,css=#build-checklist,css=#build-checklist,css=#build-checklist,css=#build-checklist,css=#build-checklist,css=#build-checklist
UI,run_heading_locator,css=#panel-run h2,css=#panel-run h2,css=#panel-run h2,css=#panel-run h2,css=#panel-run h2,css=#panel-run h2,css=#panel-run h2,css=#panel-run h2,css=#panel-run h2
UI,analyze_heading_locator,css=#panel-analyze h2,css=#panel-analyze h2,css=#panel-analyze h2,css=#panel-analyze h2,css=#panel-analyze h2,css=#panel-analyze h2,css=#panel-analyze h2,css=#panel-analyze h2,css=#panel-analyze h2
UI,heal_heading_locator,css=#panel-heal h2,css=#panel-heal h2,css=#panel-heal h2,css=#panel-heal h2,css=#panel-heal h2,css=#panel-heal h2,css=#panel-heal h2,css=#panel-heal h2,css=#panel-heal h2
UI,loop_heading_locator,css=#panel-loop h2,css=#panel-loop h2,css=#panel-loop h2,css=#panel-loop h2,css=#panel-loop h2,css=#panel-loop h2,css=#panel-loop h2,css=#panel-loop h2,css=#panel-loop h2
UI,brahl_heading_locator,css=#panel-brahl h2,css=#panel-brahl h2,css=#panel-brahl h2,css=#panel-brahl h2,css=#panel-brahl h2,css=#panel-brahl h2,css=#panel-brahl h2,css=#panel-brahl h2,css=#panel-brahl h2
UI,run_scope_locator,css=#run-project-scope,css=#run-project-scope,css=#run-project-scope,css=#run-project-scope,css=#run-project-scope,css=#run-project-scope,css=#run-project-scope,css=#run-project-scope,css=#run-project-scope
UI,analyze_scope_locator,css=#analyze-project-scope,css=#analyze-project-scope,css=#analyze-project-scope,css=#analyze-project-scope,css=#analyze-project-scope,css=#analyze-project-scope,css=#analyze-project-scope,css=#analyze-project-scope,css=#analyze-project-scope
UI,btn_refresh_locator,css=#btn-refresh-runs,css=#btn-refresh-runs,css=#btn-refresh-runs,css=#btn-refresh-runs,css=#btn-refresh-runs,css=#btn-refresh-runs,css=#btn-refresh-runs,css=#btn-refresh-runs,css=#btn-refresh-runs
UI,btn_join_hitl_locator,css=#btn-join-hitl,css=#btn-join-hitl,css=#btn-join-hitl,css=#btn-join-hitl,css=#btn-join-hitl,css=#btn-join-hitl,css=#btn-join-hitl,css=#btn-join-hitl,css=#btn-join-hitl
UI,health_pill_locator,css=#health-pill,css=#health-pill,css=#health-pill,css=#health-pill,css=#health-pill,css=#health-pill,css=#health-pill,css=#health-pill,css=#health-pill
UI,footer_version_locator,css=#footer-version,css=#footer-version,css=#footer-version,css=#footer-version,css=#footer-version,css=#footer-version,css=#footer-version,css=#footer-version,css=#footer-version
UI,phase_progress_locator,css=#phase-progress,css=#phase-progress,css=#phase-progress,css=#phase-progress,css=#phase-progress,css=#phase-progress,css=#phase-progress,css=#phase-progress,css=#phase-progress
UI,btn_shrink_locator,css=#btn-shrink-plans,css=#btn-shrink-plans,css=#btn-shrink-plans,css=#btn-shrink-plans,css=#btn-shrink-plans,css=#btn-shrink-plans,css=#btn-shrink-plans,css=#btn-shrink-plans,css=#btn-shrink-plans
UI,btn_run_locator,css=#btn-run,css=#btn-run,css=#btn-run,css=#btn-run,css=#btn-run,css=#btn-run,css=#btn-run,css=#btn-run,css=#btn-run
UI,config_label_locator,css=.fstart-toolbar-label,css=.fstart-toolbar-label,css=.fstart-toolbar-label,css=.fstart-toolbar-label,css=.fstart-toolbar-label,css=.fstart-toolbar-label,css=.fstart-toolbar-label,css=.fstart-toolbar-label,css=.fstart-toolbar-label
UI,run_suite_display_locator,css=#run-suite-display,css=#run-suite-display,css=#run-suite-display,css=#run-suite-display,css=#run-suite-display,css=#run-suite-display,css=#run-suite-display,css=#run-suite-display,css=#run-suite-display
UI,brahl_report_list_locator,css=#brahl-report-list,css=#brahl-report-list,css=#brahl-report-list,css=#brahl-report-list,css=#brahl-report-list,css=#brahl-report-list,css=#brahl-report-list,css=#brahl-report-list,css=#brahl-report-list
UI,brahl_chat_input_locator,css=#brahl-chat-input,css=#brahl-chat-input,css=#brahl-chat-input,css=#brahl-chat-input,css=#brahl-chat-input,css=#brahl-chat-input,css=#brahl-chat-input,css=#brahl-chat-input,css=#brahl-chat-input
UI,btn_link_report_locator,css=#btn-link-run-report,css=#btn-link-run-report,css=#btn-link-run-report,css=#btn-link-run-report,css=#btn-link-run-report,css=#btn-link-run-report,css=#btn-link-run-report,css=#btn-link-run-report,css=#btn-link-run-report
UI,consultant_tier_banner_locator,css=#consultant-tier-banner,css=#consultant-tier-banner,css=#consultant-tier-banner,css=#consultant-tier-banner,css=#consultant-tier-banner,css=#consultant-tier-banner,css=#consultant-tier-banner,css=#consultant-tier-banner,css=#consultant-tier-banner
UI,profile_chip_code_locator,css=#profile-chip-code,css=#profile-chip-code,css=#profile-chip-code,css=#profile-chip-code,css=#profile-chip-code,css=#profile-chip-code,css=#profile-chip-code,css=#profile-chip-code,css=#profile-chip-code
UI,profile_chip_name_locator,css=#profile-chip-name,css=#profile-chip-name,css=#profile-chip-name,css=#profile-chip-name,css=#profile-chip-name,css=#profile-chip-name,css=#profile-chip-name,css=#profile-chip-name,css=#profile-chip-name
UI,ypad_explorer_locator,css=.ypad-tab[data-ypad-tab='plans'],css=.ypad-tab[data-ypad-tab='plans'],css=.ypad-tab[data-ypad-tab='plans'],css=.ypad-tab[data-ypad-tab='plans'],css=.ypad-tab[data-ypad-tab='plans'],css=.ypad-tab[data-ypad-tab='plans'],css=.ypad-tab[data-ypad-tab='plans'],css=.ypad-tab[data-ypad-tab='plans'],css=.ypad-tab[data-ypad-tab='plans']
UI,build_consultant_panel_locator,css=#build-consultant-panel .section-sub,css=#build-consultant-panel .section-sub,css=#build-consultant-panel .section-sub,css=#build-consultant-panel .section-sub,css=#build-consultant-panel .section-sub,css=#build-consultant-panel .section-sub,css=#build-consultant-panel .section-sub,css=#build-consultant-panel .section-sub,css=#build-consultant-panel .section-sub
UI,client_manual_build_locator,css=#client-manual-build,css=#client-manual-build,css=#client-manual-build,css=#client-manual-build,css=#client-manual-build,css=#client-manual-build,css=#client-manual-build,css=#client-manual-build,css=#client-manual-build
UI,btn_new_project_locator,css=#client-empty-add,css=#client-empty-add,css=#client-empty-add,css=#client-empty-add,css=#client-empty-add,css=#client-empty-add,css=#client-empty-add,css=#client-empty-add,css=#client-empty-add
UI,app_title_expected,"BRAHL Web — f(x,y)=z","BRAHL Web — f(x,y)=z","BRAHL Web — f(x,y)=z","BRAHL Web — f(x,y)=z","BRAHL Web — f(x,y)=z","BRAHL Web — f(x,y)=z","BRAHL Web — f(x,y)=z","BRAHL Web — f(x,y)=z","BRAHL Web — f(x,y)=z"
UI,topbar_suite_expected,qoa_web — http://127.0.0.1:8765/,qoa_web — http://127.0.0.1:8765/,qoa_web — http://127.0.0.1:8765/,qoa_web — http://127.0.0.1:8765/,qoa_web — http://127.0.0.1:8765/,qoa_web — http://127.0.0.1:8765/,qoa_web — http://127.0.0.1:8765/,qoa_web — http://127.0.0.1:8765/,qoa_web — http://127.0.0.1:8765/
UI,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live
UI,build_title_hitl_expected,Build — qoa_web (QA Hunter),Build — qoa_web (QA Hunter),Build — qoa_web (QA Hunter),Build — qoa_web (QA Hunter),Build — qoa_web (QA Hunter),Build — qoa_web (QA Hunter),Build — qoa_web (QA Hunter),Build — qoa_web (QA Hunter),Build — qoa_web (QA Hunter)
UI,join_btn_expected,Join as QA Hunter,Join as QA Hunter,Join as QA Hunter,Join as QA Hunter,Join as QA Hunter,Join as QA Hunter,Join as QA Hunter,Join as QA Hunter,Join as QA Hunter
UI,ai_off_label_expected,AI off (profile),AI off (profile),AI off (profile),AI off (profile),AI off (profile),AI off (profile),AI off (profile),AI off (profile),AI off (profile)
UI,senior_banner_expected,"Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance.","Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance.","Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance.","Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance.","Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance.","Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance.","Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance.","Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance.","Senior QA Hunter — mentor-level deliverables, hybrid Automation + AI reports, yPAD shrink/restore guidance."
UI,run_heading_expected,Run — FoXYiZ fEngine2,Run — FoXYiZ fEngine2,Run — FoXYiZ fEngine2,Run — FoXYiZ fEngine2,Run — FoXYiZ fEngine2,Run — FoXYiZ fEngine2,Run — FoXYiZ fEngine2,Run — FoXYiZ fEngine2,Run — FoXYiZ fEngine2
UI,analyze_heading_expected,Analyze — z/,Analyze — z/,Analyze — z/,Analyze — z/,Analyze — z/,Analyze — z/,Analyze — z/,Analyze — z/,Analyze — z/
UI,heal_shrink_expected,Shrink to failures,Shrink to failures,Shrink to failures,Shrink to failures,Shrink to failures,Shrink to failures,Shrink to failures,Shrink to failures,Shrink to failures
UI,loop_heading_expected,Loop — BRAHL cycle,Loop — BRAHL cycle,Loop — BRAHL cycle,Loop — BRAHL cycle,Loop — BRAHL cycle,Loop — BRAHL cycle,Loop — BRAHL cycle,Loop — BRAHL cycle,Loop — BRAHL cycle
UI,brahl_heading_expected,BRAHL — cycle report,BRAHL — cycle report,BRAHL — cycle report,BRAHL — cycle report,BRAHL — cycle report,BRAHL — cycle report,BRAHL — cycle report,BRAHL — cycle report,BRAHL — cycle report
UI,consultant_panel_heading_expected,QA Hunter workspace,QA Hunter workspace,QA Hunter workspace,QA Hunter workspace,QA Hunter workspace,QA Hunter workspace,QA Hunter workspace,QA Hunter workspace,QA Hunter workspace
UI,add_challenge_btn_expected,Add challenge to arena,Add challenge to arena,Add challenge to arena,Add challenge to arena,Add challenge to arena,Add challenge to arena,Add challenge to arena,Add challenge to arena,Add challenge to arena
UI,api_base_url,http://127.0.0.1:8765,http://127.0.0.1:8765,http://127.0.0.1:8765,http://127.0.0.1:8765,http://127.0.0.1:8765,http://127.0.0.1:8765,http://127.0.0.1:8765,http://127.0.0.1:8765,http://127.0.0.1:8765
UI,api_health_endpoint,/api/health,/api/health,/api/health,/api/health,/api/health,/api/health,/api/health,/api/health,/api/health
UI,api_signin_endpoint,/signin,/signin,/signin,/signin,/signin,/signin,/signin,/signin,/signin
UI,api_profiles_js_endpoint,/assets/profiles.js,/assets/profiles.js,/assets/profiles.js,/assets/profiles.js,/assets/profiles.js,/assets/profiles.js,/assets/profiles.js,/assets/profiles.js,/assets/profiles.js
UI,api_projects_endpoint,/api/projects?role=client,/api/projects?role=client,/api/projects?role=client,/api/projects?role=client,/api/projects?role=client,/api/projects?role=client,/api/projects?role=client,/api/projects?role=client,/api/projects?role=client
UI,api_projects_consultant_endpoint,/api/projects?role=consultant,/api/projects?role=consultant,/api/projects?role=consultant,/api/projects?role=consultant,/api/projects?role=consultant,/api/projects?role=consultant,/api/projects?role=consultant,/api/projects?role=consultant,/api/projects?role=consultant
UI,api_suites_endpoint,/api/suites,/api/suites,/api/suites,/api/suites,/api/suites,/api/suites,/api/suites,/api/suites,/api/suites
UI,api_runs_endpoint,/api/runs?suite=qoa_web_live,/api/runs?suite=qoa_web_live,/api/runs?suite=qoa_web_live,/api/runs?suite=qoa_web_live,/api/runs?suite=qoa_web_live,/api/runs?suite=qoa_web_live,/api/runs?suite=qoa_web_live,/api/runs?suite=qoa_web_live,/api/runs?suite=qoa_web_live
UI,api_version_endpoint,/api/version,/api/version,/api/version,/api/version,/api/version,/api/version,/api/version,/api/version,/api/version
UI,api_index_endpoint,/,/,/,/,/,/,/,/,/
UI,api_css_endpoint,/assets/styles.css,/assets/styles.css,/assets/styles.css,/assets/styles.css,/assets/styles.css,/assets/styles.css,/assets/styles.css,/assets/styles.css,/assets/styles.css
UI,api_js_endpoint,/assets/app.js,/assets/app.js,/assets/app.js,/assets/app.js,/assets/app.js,/assets/app.js,/assets/app.js,/assets/app.js,/assets/app.js
UI,payload_job_path,y/qoa_web_live/payload_job.json,y/qoa_web_live/payload_job.json,y/qoa_web_live/payload_job.json,y/qoa_web_live/payload_job.json,y/qoa_web_live/payload_job.json,y/qoa_web_live/payload_job.json,y/qoa_web_live/payload_job.json,y/qoa_web_live/payload_job.json,y/qoa_web_live/payload_job.json
UI,payload_context_path,y/qoa_web_live/payload_context.json,y/qoa_web_live/payload_context.json,y/qoa_web_live/payload_context.json,y/qoa_web_live/payload_context.json,y/qoa_web_live/payload_context.json,y/qoa_web_live/payload_context.json,y/qoa_web_live/payload_context.json,y/qoa_web_live/payload_context.json,y/qoa_web_live/payload_context.json
UI,payload_chat_path,y/qoa_web_live/payload_chat.json,y/qoa_web_live/payload_chat.json,y/qoa_web_live/payload_chat.json,y/qoa_web_live/payload_chat.json,y/qoa_web_live/payload_chat.json,y/qoa_web_live/payload_chat.json,y/qoa_web_live/payload_chat.json,y/qoa_web_live/payload_chat.json,y/qoa_web_live/payload_chat.json
UI,signin_creator_pitch_locator,css=#signin-creator-pitch,css=#signin-creator-pitch,css=#signin-creator-pitch,css=#signin-creator-pitch,css=#signin-creator-pitch,css=#signin-creator-pitch,css=#signin-creator-pitch,css=#signin-creator-pitch,css=#signin-creator-pitch
UI,signin_hunter_pitch_locator,css=#signin-hunter-pitch,css=#signin-hunter-pitch,css=#signin-hunter-pitch,css=#signin-hunter-pitch,css=#signin-hunter-pitch,css=#signin-hunter-pitch,css=#signin-hunter-pitch,css=#signin-hunter-pitch,css=#signin-hunter-pitch
UI,gonogo_label_locator,css=#gonogo-label,css=#gonogo-label,css=#gonogo-label,css=#gonogo-label,css=#gonogo-label,css=#gonogo-label,css=#gonogo-label,css=#gonogo-label,css=#gonogo-label
UI,xp_heading_locator,css=#cost-xp-view h2,css=#cost-xp-view h2,css=#cost-xp-view h2,css=#cost-xp-view h2,css=#cost-xp-view h2,css=#cost-xp-view h2,css=#cost-xp-view h2,css=#cost-xp-view h2,css=#cost-xp-view h2
UI,avatar_networker_bar_btn,css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda']
UI,avatar_client_label_locator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator,css=#user-menu-role-creator
UI,avatar_hitl_label_locator,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter,css=#user-menu-role-hunter
UI,avatar_networker_label_locator,css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda'],css=.user-menu-item[data-user-action='nalanda']
UI,signin_creator_pitch_expected,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…,Go / No-Go for launch. Green-or-red health report for Creators — prod-ready or not. Start with $20+ credits and BRAHL…
UI,about_url,http://127.0.0.1:8765/about,http://127.0.0.1:8765/about,http://127.0.0.1:8765/about,http://127.0.0.1:8765/about,http://127.0.0.1:8765/about,http://127.0.0.1:8765/about,http://127.0.0.1:8765/about,http://127.0.0.1:8765/about,http://127.0.0.1:8765/about
UI,about_arena_title_locator,css=#about-arena-title,css=#about-arena-title,css=#about-arena-title,css=#about-arena-title,css=#about-arena-title,css=#about-arena-title,css=#about-arena-title,css=#about-arena-title,css=#about-arena-title
UI,about_arena_title_expected,Champion vs Contender — BRAHL it,Champion vs Contender — BRAHL it,Champion vs Contender — BRAHL it,Champion vs Contender — BRAHL it,Champion vs Contender — BRAHL it,Champion vs Contender — BRAHL it,Champion vs Contender — BRAHL it,Champion vs Contender — BRAHL it,Champion vs Contender — BRAHL it
UI,about_p2p_locator,css=#about-p2p-kicker,css=#about-p2p-kicker,css=#about-p2p-kicker,css=#about-p2p-kicker,css=#about-p2p-kicker,css=#about-p2p-kicker,css=#about-p2p-kicker,css=#about-p2p-kicker,css=#about-p2p-kicker
UI,about_p2p_expected,direct P2P marketplace,direct P2P marketplace,direct P2P marketplace,direct P2P marketplace,direct P2P marketplace,direct P2P marketplace,direct P2P marketplace,direct P2P marketplace,direct P2P marketplace
UI,signin_hunter_pitch_expected,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.,There are ships sinking. Find and kill the bugs. Human (QA) + Automation + AI — hunt before premature launch.
UI,gonogo_section_locator,css=#gonogo-block h3,css=#gonogo-block h3,css=#gonogo-block h3,css=#gonogo-block h3,css=#gonogo-block h3,css=#gonogo-block h3,css=#gonogo-block h3,css=#gonogo-block h3,css=#gonogo-block h3
UI,gonogo_section_expected,Launch readiness — Go / No-Go,Launch readiness — Go / No-Go,Launch readiness — Go / No-Go,Launch readiness — Go / No-Go,Launch readiness — Go / No-Go,Launch readiness — Go / No-Go,Launch readiness — Go / No-Go,Launch readiness — Go / No-Go,Launch readiness — Go / No-Go
UI,xp_heading_expected,XP & value — Creator,XP & value — Creator,XP & value — Creator,XP & value — Creator,XP & value — Creator,XP & value — Creator,XP & value — Creator,XP & value — Creator,XP & value — Creator
UI,avatar_creator_label_expected,View as Creator,View as Creator,View as Creator,View as Creator,View as Creator,View as Creator,View as Creator,View as Creator,View as Creator
UI,avatar_hunter_label_expected,View as QA Hunter,View as QA Hunter,View as QA Hunter,View as QA Hunter,View as QA Hunter,View as QA Hunter,View as QA Hunter,View as QA Hunter,View as QA Hunter
UI,nalanda_heading_locator,css=#panel-nalanda h2,css=#panel-nalanda h2,css=#panel-nalanda h2,css=#panel-nalanda h2,css=#panel-nalanda h2,css=#panel-nalanda h2,css=#panel-nalanda h2,css=#panel-nalanda h2,css=#panel-nalanda h2
UI,nalanda_heading_expected,Nalanda — free knowledge community,Nalanda — free knowledge community,Nalanda — free knowledge community,Nalanda — free knowledge community,Nalanda — free knowledge community,Nalanda — free knowledge community,Nalanda — free knowledge community,Nalanda — free knowledge community,Nalanda — free knowledge community
